filename,annotations,label
samples/CAM_BACK_LEFT/n010-2018-07-03-13-47-15+0800__CAM_BACK_LEFT__1530597066447633.jpg,"[[406, 428, 720, 547], [962, 456, 1257, 559]]",True
samples/CAM_BACK_LEFT/n010-2018-07-03-13-47-15+0800__CAM_BACK_LEFT__1530597644447633.jpg,[],False
samples/CAM_BACK_LEFT/n010-2018-07-03-13-47-15+0800__CAM_BACK_LEFT__1530597617547633.jpg,[],False
samples/CAM_BACK_LEFT/n010-2018-07-03-13-47-15+0800__CAM_BACK_LEFT__1530597624197633.jpg,[],False
samples/CAM_BACK_LEFT/n010-2018-07-03-13-47-15+0800__CAM_BACK_LEFT__1530597227797633.jpg,[],False
samples/CAM_BACK_LEFT/n010-2018-07-03-13-47-15+0800__CAM_BACK_LEFT__1530597051397633.jpg,[],False
samples/CAM_BACK_LEFT/n010-2018-07-03-13-47-15+0800__CAM_BACK_LEFT__1530597631047633.jpg,"[[844, 428, 1011, 504], [1122, 404, 1235, 475]]",True
samples/CAM_BACK_LEFT/n010-2018-07-03-13-47-15+0800__CAM_BACK_LEFT__1530597197397633.jpg,[],False
samples/CAM_BACK_LEFT/n010-2018-07-03-13-47-15+0800__CAM_BACK_LEFT__1530596898797633.jpg,"[[1348, 459, 1600, 612]]",True
samples/CAM_BACK_LEFT/n010-2018-07-03-13-47-15+0800__CAM_BACK_LEFT__1530596925047633.jpg,[],False
samples/CAM_BACK_LEFT/n010-2018-07-03-13-47-15+0800__CAM_BACK_LEFT__1530597240297633.jpg,[],False
samples/CAM_BACK_LEFT/n010-2018-07-03-13-47-15+0800__CAM_BACK_LEFT__1530597279897633.jpg,"[[496, 446, 519, 465]]",True
samples/CAM_BACK_LEFT/n010-2018-07-03-13-47-15+0800__CAM_BACK_LEFT__1530597701547633.jpg,[],False
samples/CAM_BACK_LEFT/n010-2018-07-03-13-47-15+0800__CAM_BACK_LEFT__1530597172447633.jpg,"[[1, 438, 59, 461], [1008, 449, 1217, 523]]",True
samples/CAM_BACK_LEFT/n010-2018-07-03-13-47-15+0800__CAM_BACK_LEFT__1530597297397633.jpg,"[[0, 458, 23, 511]]",True
samples/CAM_BACK_LEFT/n010-2018-07-03-13-47-15+0800__CAM_BACK_LEFT__1530597688298371.jpg,"[[536, 479, 567, 504], [1082, 457, 1148, 490], [844, 457, 912, 495], [801, 462, 871, 496], [1125, 440, 1257, 482], [1320, 438, 1412, 476], [1197, 440, 1312, 483], [1246, 439, 1350, 482], [995, 451, 1067, 485], [960, 457, 1034, 492]]",True
samples/CAM_BACK_LEFT/n010-2018-07-03-13-47-15+0800__CAM_BACK_LEFT__1530597638447633.jpg,"[[1472, 406, 1537, 434], [1574, 413, 1600, 435]]",True
samples/CAM_BACK_LEFT/n010-2018-07-03-13-47-15+0800__CAM_BACK_LEFT__1530596908147633.jpg,"[[719, 451, 763, 488], [239, 445, 306, 499], [507, 453, 560, 493], [757, 448, 813, 487], [424, 456, 509, 489], [632, 453, 696, 493], [569, 449, 636, 495], [0, 453, 243, 554]]",True
